"id","name","nationality","nat_position","nat_kit","club","club_position","club_kit","club_join","contract_expiration","rate","height","weight","pref_foot","birth","age","pref_position"
556,"Bruno Peres","Brazil","NULL","NULL","Roma","RM",13,"09/06/2014",2021,79,"178 cm","72 kg","Right","03/01/1990",27,"RM/RB"
557,"Ricardo Pereira","Portugal","NULL","NULL","OGC Nice","Sub",21,"07/01/2013",2019,79,"175 cm","70 kg","Right","10/06/1993",23,"RB/RWB"
558,"Óliver Torres","Spain","NULL","NULL","FC Porto","CM",30,"05/01/2012",2018,79,"175 cm","63 kg","Right","11/10/1994",22,"CM/RM"
559,"Filip Kostic","Serbia","NULL","NULL","Hamburger SV","LM",17,"07/25/2016",2021,79,"184 cm","82 kg","Left","11/01/1992",24,"LM/RM"
560,"Emre Can","Germany","Sub",14,"Liverpool","Sub",23,"07/03/2014",2019,79,"184 cm","82 kg","Right","01/12/1994",23,"CM/CB"
561,"Matthias Ginter","Germany","NULL","NULL","Bor. Dortmund","Sub",28,"07/17/2014",2019,79,"190 cm","87 kg","Right","01/19/1994",23,"CB/CDM"
562,"Luciano Vietto","Argentina","NULL","NULL","Sevilla FC","Sub",9,"07/01/2015",2020,79,"173 cm","70 kg","Right","12/05/1993",23,"ST"
563,"Arrizabalaga","Spain","NULL","NULL","Athletic Bilbao","GK",26,"07/01/2012",2018,79,"188 cm","83 kg","Right","10/03/1994",22,"GK"
564,"Maximilian Arnold","Germany","NULL","NULL","VfL Wolfsburg","CAM",27,"10/10/2011",2020,79,"184 cm","74 kg","Left","05/27/1994",22,"CM/CDM"
565,"Alassane Pléa","France","NULL","NULL","OGC Nice","Sub",14,"08/28/2014",2021,79,"181 cm","79 kg","Right","03/10/1993",24,"ST/RM"
566,"Denis Cheryshev","Russia","NULL","NULL","Villarreal CF","Sub",7,"07/01/2016",2021,79,"179 cm","74 kg","Left","12/26/1990",26,"LM/LW"
567,"Edin Višca","Bosnia Herzegovina","NULL","NULL","Medipol Basaksehir","RM",7,"08/16/2011",2020,79,"172 cm","63 kg","Right","02/17/1990",27,"RM"
568,"Bernard","Brazil","NULL","NULL","Shakhtar Donetsk","Sub",10,"08/08/2013",2018,79,"164 cm","57 kg","Right","09/08/1992",24,"CAM/LW"
569,"Daniele Baselli","Italy","NULL","NULL","Torino","LCM",8,"07/10/2015",2020,79,"182 cm","70 kg","Right","03/23/1992",25,"CM"
570,"Arkadiusz Milik","Poland","RS",7,"Napoli","Sub",99,"08/02/2016",2021,79,"186 cm","78 kg","Left","02/28/1994",23,"ST"
571,"Bernat","Spain","NULL","NULL","FC Bayern","Sub",18,"07/07/2014",2019,79,"170 cm","67 kg","Left","03/01/1993",24,"LB/LM"
572,"Šime Vrsaljko","Croatia","NULL","NULL","Atlético Madrid","Sub",16,"07/05/2016",2021,79,"182 cm","76 kg","Right","01/10/1992",25,"RB"
573,"Eric Botteghin","Brazil","NULL","NULL","Feyenoord","RCB",33,"08/13/2015",2019,79,"193 cm","89 kg","Right","08/31/1987",29,"CB"
574,"John Stones","England","RCB",6,"Manchester City","RCB",24,"08/09/2016",2022,80,"188 cm","75 kg","Right","05/28/1994",22,"CB"
575,"Jannik Vestergaard","Denmark","LCB",3,"Bor. Mgladbach","LCB",4,"07/01/2016",2021,79,"199 cm","98 kg","Right","08/03/1992",24,"CB"
576,"Simone Zaza","Italy","NULL","NULL","Valencia CF","ST",12,"07/07/2015",2020,79,"186 cm","83 kg","Left","06/25/1991",25,"ST"
577,"Sergi Darder","Spain","NULL","NULL","Olym. Lyonnais","Sub",14,"08/31/2015",2020,79,"180 cm","71 kg","Right","12/22/1993",23,"CM"
578,"Fernando","Brazil","NULL","NULL","Spartak Moscow","RDM",11,"07/18/2016",2021,79,"175 cm","80 kg","Right","03/03/1992",25,"CDM/CM"
579,"Memphis Depay","Netherlands","Sub",21,"Olym. Lyonnais","LW",9,"01/20/2017",2021,79,"176 cm","78 kg","Right","02/13/1994",23,"LM/LW"
580,"Jesé","Spain","NULL","NULL","UD Las Palmas","LM",10,"08/08/2016",2021,79,"178 cm","72 kg","Right","02/26/1993",24,"LM/RM"
581,"Thomas Meunier","Belgium","RM",15,"PSG","RB",12,"07/03/2016",2020,79,"190 cm","88 kg","Right","09/12/1991",25,"RB"
582,"Eric Dier","England","LDM",4,"Spurs","RCB",15,"08/02/2014",2021,79,"188 cm","90 kg","Right","01/15/1994",23,"CB/CDM"
583,"Federico Fernández","Argentina","NULL","NULL","Swansea City","RCB",33,"08/20/2014",2020,79,"190 cm","83 kg","Right","02/22/1989",28,"CB"
584,"Nicola Sansone","Italy","Sub",9,"Villarreal CF","Sub",18,"08/07/2016",2021,79,"175 cm","68 kg","Right","09/10/1991",25,"ST/LW"
585,"Gastón Ramírez","Uruguay","NULL","NULL","Middlesbrough","Sub",21,"07/29/2016",2019,79,"183 cm","77 kg","Left","12/02/1990",26,"CAM/RM"
586,"Faouzi Ghoulam","Algeria","NULL","NULL","Napoli","LB",31,"01/31/2014",2018,79,"188 cm","80 kg","Left","02/01/1991",26,"LB"
587,"Gabriel","Brazil","NULL","NULL","Arsenal","Sub",5,"01/28/2015",2019,79,"185 cm","72 kg","Right","11/22/1990",26,"CB"
588,"Vladimír Darida","Czech Republic","RDM",8,"Hertha BSC","CAM",6,"07/18/2015",2019,79,"171 cm","64 kg","Right","08/08/1990",26,"CM/CDM"
589,"Cédric","Portugal","RB",21,"Southampton","RB",2,"06/18/2015",2020,79,"172 cm","67 kg","Right","08/31/1991",25,"RB/RWB"
590,"Lorenzo Tonelli","Italy","NULL","NULL","Napoli","Sub",62,"06/30/2016",2020,79,"183 cm","78 kg","Right","01/17/1990",27,"CB"
591,"Benjamin Lecomte","France","NULL","NULL","FC Lorient","GK",40,"06/01/2010",2019,79,"186 cm","78 kg","Left","04/26/1991",25,"GK"
592,"Lucas Digne","France","NULL","NULL","FC Barcelona","Sub",19,"07/13/2016",2021,79,"178 cm","74 kg","Left","07/20/1993",23,"LB"
593,"Paco Alcácer","Spain","NULL","NULL","FC Barcelona","Sub",17,"08/30/2016",2021,79,"176 cm","71 kg","Right","08/30/1993",23,"ST"
594,"Heung Min Son","Korea Republic","NULL","NULL","Spurs","Sub",7,"08/28/2015",2020,79,"183 cm","77 kg","Right","07/08/1992",24,"LM/RM"
595,"Vicente Gómez","Spain","NULL","NULL","UD Las Palmas","RCM",4,"07/01/2010",2020,79,"188 cm","78 kg","Left","08/31/1988",28,"CM/CDM"
596,"Emre Çolak","Turkey","Sub",6,"RC Deportivo","CAM",8,"07/01/2016",2019,79,"169 cm","67 kg","Left","05/20/1991",25,"CAM/LM/CM"
597,"André André","Portugal","NULL","NULL","FC Porto","Sub",20,"07/01/2015",2019,79,"174 cm","65 kg","Right","08/26/1989",27,"CM"
598,"Dušan Tadic","Serbia","NULL","NULL","Southampton","LW",11,"07/08/2014",2020,79,"181 cm","76 kg","Left","11/20/1988",28,"LM/CAM"
599,"Danilo","Brazil","NULL","NULL","Real Madrid","Sub",23,"07/01/2015",2021,79,"184 cm","78 kg","Right","07/15/1991",25,"RB/LB"
600,"Pablo Sarabia","Spain","NULL","NULL","Sevilla FC","RM",17,"07/01/2016",2020,79,"174 cm","70 kg","Left","05/11/1992",24,"RM/CAM"
601,"Alex Oxlade-Chamberlain","England","Sub",18,"Arsenal","RDM",15,"08/08/2011",2018,79,"175 cm","70 kg","Right","08/15/1993",23,"RM/LM"
602,"Marco Höger","Germany","NULL","NULL","1. FC Köln","RDM",6,"07/01/2016",2021,79,"182 cm","83 kg","Right","09/16/1989",27,"CM/CDM"
603,"Florian Lejeune","France","NULL","NULL","SD Eibar","LCB",20,"07/01/2016",2020,79,"190 cm","81 kg","Right","05/20/1991",25,"CB"
604,"Giannelli Imbula","France","NULL","NULL","Stoke City","Sub",21,"02/01/2016",2021,79,"186 cm","77 kg","Left","09/12/1992",24,"CM/CDM"
605,"Nicolás Lodeiro","Uruguay","Sub",14,"Sounders FC","RM",10,"07/27/2016",2021,79,"170 cm","69 kg","Left","03/21/1989",28,"CAM"
606,"Daniel Caligiuri","Italy","NULL","NULL","FC Schalke 04","Sub",18,"01/25/2017",2020,79,"182 cm","79 kg","Right","01/15/1988",29,"LM/RM"
607,"Jeffrey Bruma","Netherlands","RCB",3,"VfL Wolfsburg","RCB",5,"07/01/2016",2021,79,"189 cm","88 kg","Right","11/13/1991",25,"CB"
608,"Willian José","Brazil","NULL","NULL","Real Sociedad","ST",12,"07/31/2016",2021,79,"186 cm","89 kg","Right","11/23/1991",25,"ST/CAM"
609,"Wahbi Khazri","Tunisia","NULL","NULL","Sunderland","Res",10,"01/29/2016",2020,79,"182 cm","76 kg","Right","02/08/1991",26,"LM/RM"
610,"Keko","Spain","NULL","NULL","Málaga CF","RM",20,"07/01/2016",2020,79,"172 cm","68 kg","Right","12/27/1991",25,"RM/RW"
611,"Gil","Brazil","Sub",4,"Free Agents","Res",99,"01/20/2016",2020,79,"192 cm","84 kg","Right","06/12/1987",29,"CB"
612,"Martin Braithwaite","Denmark","Sub",7,"Toulouse FC","LAM",9,"08/16/2013",2019,79,"177 cm","77 kg","Right","06/05/1991",25,"ST/LM"
613,"Jaume Costa","Spain","NULL","NULL","Villarreal CF","LB",11,"07/01/2010",2021,79,"171 cm","62 kg","Left","03/18/1988",29,"LB/LM"
614,"Romain Hamouma","France","NULL","NULL","AS Saint-Étienne","RM",21,"07/19/2012",2018,79,"178 cm","76 kg","Right","03/29/1987",30,"RM/LW"
615,"Escudero","Spain","NULL","NULL","Sevilla FC","LB",18,"07/03/2015",2019,79,"176 cm","72 kg","Left","09/02/1989",27,"LB/LM"
616,"Marcos Alonso","Spain","NULL","NULL","Chelsea","LWB",3,"08/31/2016",2021,79,"188 cm","81 kg","Left","12/28/1990",26,"LWB/LB"
617,"Holger Badstuber","Germany","NULL","NULL","FC Schalke 04","Sub",24,"07/01/2009",2018,79,"190 cm","84 kg","Left","03/13/1989",28,"CB/LB"
618,"Osvaldo Alonso","Cuba","NULL","NULL","Sounders FC","RDM",6,"01/01/2009",2021,79,"180 cm","75 kg","Right","11/11/1985",31,"CDM/CM"
619,"Juraj Kucka","Slovakia","NULL","NULL","Milan","RCM",33,"08/28/2015",2019,79,"186 cm","84 kg","Right","02/26/1987",30,"CM/CDM"
620,"Jeroen Zoet","Netherlands","GK",1,"PSV","GK",1,"07/01/2009",2019,79,"189 cm","85 kg","Right","01/06/1991",26,"GK"
621,"Illarramendi","Spain","NULL","NULL","Real Sociedad","CM",4,"08/26/2015",2021,79,"179 cm","76 kg","Right","03/08/1990",27,"CM/CDM"
622,"Adem Ljajic","Serbia","NULL","NULL","Torino","LW",10,"07/19/2016",2020,79,"182 cm","74 kg","Right","09/29/1991",25,"LW/RW"
623,"Eliaquim Mangala","France","NULL","NULL","Valencia CF","LCB",5,"08/11/2014",2019,79,"187 cm","84 kg","Left","02/13/1991",26,"CB"
624,"Canales","Spain","NULL","NULL","Real Sociedad","Sub",16,"01/31/2014",2018,79,"179 cm","65 kg","Left","02/16/1991",26,"CAM/LW"
625,"Balenziaga","Spain","NULL","NULL","Athletic Bilbao","LB",24,"07/01/2013",2019,79,"177 cm","76 kg","Left","02/29/1988",29,"LB"
626,"Rafael","Brazil","NULL","NULL","Olym. Lyonnais","Sub",20,"08/09/2015",2019,79,"172 cm","78 kg","Right","07/09/1990",26,"RB"
627,"Sebastian Rudy","Germany","Sub",21,"1899 Hoffenheim","CM",6,"08/24/2010",2017,79,"179 cm","74 kg","Right","02/28/1990",27,"CM/RB/RM"
628,"Jonathas","Brazil","NULL","NULL","Rubin Kazan","ST",22,"08/01/2016",2020,79,"190 cm","85 kg","Right","03/06/1989",28,"ST"
629,"Aleksandar Dragovic","Austria","RCB",3,"Bayer 04","LCB",6,"08/23/2016",2021,79,"186 cm","79 kg","Right","03/06/1991",26,"CB"
630,"Manuel Lanzini","Argentina","NULL","NULL","West Ham","CAM",10,"07/01/2016",2020,79,"170 cm","66 kg","Right","02/15/1993",24,"CAM/LM"
631,"Victor Wanyama","Kenya","NULL","NULL","Spurs","RCM",12,"07/01/2016",2021,79,"184 cm","87 kg","Right","06/25/1991",25,"CDM/CM"
632,"Alfred NDiaye","Senegal","NULL","NULL","Hull City","RCM",10,"07/06/2016",2021,79,"187 cm","82 kg","Right","03/06/1990",27,"CDM/CB"
633,"Nicolas Nkoulou","Cameroon","Sub",3,"Olym. Lyonnais","Sub",3,"06/29/2016",2020,79,"180 cm","77 kg","Right","03/27/1990",27,"CB"
634,"Volkan Babacan","Turkey","GK",1,"Medipol Basaksehir","GK",1,"08/20/2014",2018,79,"192 cm","86 kg","Right","08/11/1988",28,"GK"
635,"Seydou Doumbia","Ivory Coast","NULL","NULL","FC Basel","ST",88,"01/31/2015",2019,79,"179 cm","77 kg","Right","12/31/1987",29,"ST"
636,"Pavel Mamaev","Russia","NULL","NULL","FC Krasnodar","Sub",7,"01/01/2014",2019,79,"178 cm","70 kg","Right","09/17/1988",28,"RW/LW"
637,"Artem Dzyuba","Russia","Sub",22,"Zenit","ST",22,"07/01/2015",2020,79,"196 cm","91 kg","Right","08/22/1988",28,"ST"
638,"Maurício","Brazil","NULL","NULL","Spartak Moscow","Sub",33,"07/01/2015",2019,79,"185 cm","77 kg","Right","09/20/1988",28,"CB"
639,"Yann MVila","France","NULL","NULL","Rubin Kazan","LDM",4,"01/23/2013",2020,79,"182 cm","80 kg","Right","06/29/1990",26,"CDM/CM"
640,"Kieran Gibbs","England","NULL","NULL","Arsenal","Sub",3,"09/10/2007",2018,79,"179 cm","70 kg","Left","09/26/1989",27,"LB"
641,"Mariano","Brazil","NULL","NULL","Sevilla FC","RB",3,"07/21/2015",2018,79,"177 cm","69 kg","Right","06/23/1986",30,"RB/RM"
642,"Sofiane Feghouli","Algeria","NULL","NULL","West Ham","RM",7,"07/02/2016",2019,79,"177 cm","75 kg","Right","12/26/1989",27,"RW/RM"
643,"Fernando","Brazil","NULL","NULL","Manchester City","Sub",6,"06/27/2014",2019,79,"183 cm","76 kg","Right","07/25/1987",29,"CDM/CM"
644,"Claudio Yacob","Argentina","NULL","NULL","West Brom","Sub",5,"07/01/2012",2018,79,"181 cm","73 kg","Right","07/18/1987",29,"CDM/CM"
645,"Roberto","Spain","NULL","NULL","RCD Espanyol","Sub",1,"07/01/2016",2019,79,"192 cm","86 kg","Right","02/10/1986",31,"GK"
646,"Moussa Sissoko","France","NULL","NULL","Spurs","Sub",17,"08/31/2016",2021,79,"187 cm","91 kg","Right","08/16/1989",27,"RM/CAM"
647,"Maximiliano Pereira","Uruguay","RB",16,"FC Porto","RB",2,"07/15/2015",2018,79,"173 cm","73 kg","Right","06/08/1984",32,"RB"
648,"Sidnei","Brazil","NULL","NULL","RC Deportivo","LCB",12,"07/23/2015",2020,79,"186 cm","82 kg","Right","06/23/1989",27,"CB"
649,"William Vainqueur","France","NULL","NULL","Olym. Marseille","CDM",19,"08/31/2015",2018,79,"179 cm","73 kg","Right","11/19/1988",28,"CDM"
650,"Miguel Veloso","Portugal","NULL","NULL","Genoa","LCM",44,"08/01/2016",2017,79,"180 cm","78 kg","Left","05/11/1986",30,"CDM/CM"
651,"Fabricio","Spain","NULL","NULL","Besiktas","GK",1,"07/09/2016",2019,79,"185 cm","67 kg","Right","12/17/1987",29,"GK"
652,"Vieirinha","Portugal","NULL","NULL","VfL Wolfsburg","Sub",8,"01/03/2012",2018,79,"172 cm","73 kg","Right","01/24/1986",31,"RM/RB"
653,"Fabian Johnson","United States","LB",23,"Bor. Mgladbach","LM",19,"07/01/2014",2018,79,"183 cm","74 kg","Right","12/11/1987",29,"LM/RB"
654,"Demba Ba","Senegal","NULL","NULL","Besiktas","Res",99,"07/01/2015",2018,79,"189 cm","85 kg","Right","05/25/1985",31,"ST/LW"
655,"Bryan Ruíz","Costa Rica","NULL","NULL","Sporting CP","LM",10,"07/07/2015",2018,79,"188 cm","78 kg","Left","08/18/1985",31,"LM/CAM"
656,"Marcus Berg","Sweden","RS",11,"Panathinaikos","ST",9,"07/08/2013",2019,79,"184 cm","74 kg","Right","08/17/1986",30,"ST/CF"
657,"Pontus Wernbloom","Sweden","NULL","NULL","CSKA Moscow","LDM",3,"01/01/2012",2018,79,"187 cm","85 kg","Right","06/25/1986",30,"CDM"
658,"David Ospina","Colombia","GK",1,"Arsenal","Sub",13,"07/27/2014",2019,79,"183 cm","80 kg","Right","08/31/1988",28,"GK"
659,"Ignacio Piatti","Argentina","NULL","NULL","Montreal Impact","Sub",10,"08/12/2014",2017,79,"180 cm","76 kg","Right","02/04/1985",32,"LW/CAM/CF"
660,"Valter Birsa","Slovenia","RM",10,"Chievo Verona","CAM",23,"07/03/2015",2018,79,"184 cm","81 kg","Left","08/07/1986",30,"CAM"
661,"Matías Fernández","Chile","NULL","NULL","Milan","Sub",14,"07/31/2012",2018,78,"178 cm","72 kg","Right","05/15/1986",30,"CM/CF"
662,"Marcano","Spain","NULL","NULL","FC Porto","LCB",5,"08/11/2014",2018,79,"187 cm","77 kg","Left","06/23/1987",29,"CB"
663,"Simon Mignolet","Belgium","Sub",12,"Liverpool","GK",22,"06/25/2013",2021,79,"193 cm","87 kg","Right","03/06/1988",29,"GK"
664,"Sergio Romero","Argentina","GK",1,"Manchester Utd","Sub",20,"07/27/2015",2018,79,"192 cm","87 kg","Right","02/22/1987",30,"GK"
665,"Domenico Criscito","Italy","NULL","NULL","Zenit","LB",4,"06/27/2011",2018,79,"183 cm","75 kg","Left","12/30/1986",30,"LB/CB"
666,"Castán","Brazil","NULL","NULL","Torino","LCB",4,"07/01/2012",2018,79,"186 cm","80 kg","Left","11/05/1986",30,"CB"
667,"Moussa Sow","Senegal","NULL","NULL","Fenerbahçe","Sub",17,"08/31/2015",2019,79,"180 cm","81 kg","Right","01/19/1986",31,"ST/LM"
668,"Diego Valeri","Argentina","NULL","NULL","Portland","CAM",8,"01/10/2013",2023,79,"178 cm","75 kg","Right","05/01/1986",30,"CAM"
669,"Nuri Sahin","Turkey","NULL","NULL","Bor. Dortmund","Res",8,"04/11/2014",2018,78,"180 cm","72 kg","Left","09/05/1988",28,"CDM/CM"
670,"Jonny Evans","Northern Ireland","LCB",5,"West Brom","LCB",6,"08/29/2015",2019,79,"189 cm","77 kg","Right","01/02/1988",29,"CB/LB"
671,"Danilo","Brazil","NULL","NULL","Udinese","RCB",5,"07/01/2011",2020,79,"185 cm","75 kg","Right","05/10/1984",32,"CB"
672,"Nicolás Pareja","Argentina","NULL","NULL","Sevilla FC","Sub",21,"07/06/2013",2019,79,"181 cm","74 kg","Right","01/19/1984",33,"CB"
673,"Stefan Radu","Romania","NULL","NULL","Lazio","LB",26,"01/01/2008",2020,79,"183 cm","79 kg","Left","10/22/1986",30,"LB/CB"
674,"Nicolas Lombaerts","Belgium","NULL","NULL","Zenit","Sub",6,"07/01/2007",2018,79,"188 cm","83 kg","Left","03/20/1985",32,"CB"
675,"Giuseppe Rossi","Italy","NULL","NULL","Celta Vigo","Sub",25,"01/07/2013",2017,79,"173 cm","72 kg","Left","02/01/1987",30,"ST"
676,"Llorente","Spain","NULL","NULL","Swansea City","ST",9,"08/05/2016",2018,79,"195 cm","90 kg","Right","02/26/1985",32,"ST"
677,"Bafétimbi Gomis","France","NULL","NULL","Olym. Marseille","ST",18,"07/01/2014",2018,79,"184 cm","77 kg","Right","08/06/1985",31,"ST"
678,"Mathieu Debuchy","France","NULL","NULL","Arsenal","Res",2,"07/17/2014",2017,79,"177 cm","76 kg","Right","07/28/1985",31,"RB"
679,"Ibrahim Afellay","Netherlands","NULL","NULL","Stoke City","Sub",14,"07/27/2015",2017,79,"180 cm","76 kg","Right","04/02/1986",30,"CAM/LM/CDM"
680,"Jefferson Farfán","Peru","NULL","NULL","Lokomotiv Moscow","Res",8,"01/29/2017",2017,79,"178 cm","84 kg","Right","10/26/1984",32,"RM"
681,"Manuel Fernandes","Portugal","NULL","NULL","Lokomotiv Moscow","CAM",4,"07/01/2014",2019,79,"176 cm","75 kg","Right","02/05/1986",31,"CAM/CDM"
682,"Scott Dann","England","NULL","NULL","Crystal Palace","Sub",6,"01/31/2014",2020,79,"195 cm","78 kg","Right","02/14/1987",30,"CB"
683,"Clint Dempsey","United States","NULL","NULL","Sounders FC","CAM",2,"08/03/2013",2018,79,"185 cm","84 kg","Right","03/09/1983",34,"CAM/ST"
684,"Michael Bradley","United States","CDM",4,"Toronto FC","CDM",4,"01/10/2014",2018,79,"188 cm","79 kg","Right","07/31/1987",29,"CDM/CM"
685,"Yoann Gourcuff","France","NULL","NULL","Stade Rennais","RS",28,"09/15/2015",2018,79,"185 cm","79 kg","Right","07/11/1986",30,"CAM/LW"
686,"Hilton","Brazil","NULL","NULL","Montpellier HSC","RCB",4,"08/02/2011",2017,79,"180 cm","78 kg","Right","09/13/1977",39,"CB"
687,"Pablo Batalla","Argentina","NULL","NULL","Bursaspor","CAM",10,"01/15/2016",2018,79,"170 cm","68 kg","Right","01/16/1984",33,"CAM"
688,"Gaël Clichy","France","NULL","NULL","Manchester City","LB",22,"07/04/2011",2017,79,"176 cm","65 kg","Left","07/26/1985",31,"LB"
689,"Klaas-Jan Huntelaar","Netherlands","NULL","NULL","FC Schalke 04","Sub",25,"08/31/2010",2017,79,"186 cm","83 kg","Right","08/12/1983",33,"ST"
690,"Luisão","Brazil","NULL","NULL","SL Benfica","RCB",4,"01/01/2003",2017,79,"193 cm","92 kg","Right","02/13/1981",36,"CB"
691,"Vasiliy Berezutskiy","Russia","NULL","NULL","CSKA Moscow","RCB",24,"01/01/2002",2017,79,"189 cm","87 kg","Right","06/20/1982",34,"CB"
692,"Igor Denisov","Russia","NULL","NULL","Lokomotiv Moscow","RDM",27,"08/15/2013",2017,79,"176 cm","70 kg","Right","05/17/1984",32,"CDM"
693,"Alexandr Samedov","Russia","RM",19,"Spartak Moscow","Sub",19,"01/25/2017",2018,79,"177 cm","75 kg","Right","07/19/1984",32,"RM"
694,"Jesús Navas","Spain","NULL","NULL","Manchester City","Sub",15,"07/01/2013",2017,79,"170 cm","60 kg","Right","11/21/1985",31,"RM"
695,"Xabi Prieto","Spain","NULL","NULL","Real Sociedad","RCM",10,"10/01/2003",2018,79,"186 cm","76 kg","Right","08/29/1983",33,"CM/RW"
696,"Javi Fuego","Spain","NULL","NULL","RCD Espanyol","RDM",18,"08/13/2016",2019,79,"182 cm","74 kg","Right","01/04/1984",33,"CDM/CB"
697,"Marcelo Barovero","Argentina","NULL","NULL","Necaxa","GK",1,"07/01/2016",2021,79,"182 cm","74 kg","Right","02/18/1984",33,"GK"
698,"Lisandro López","Argentina","NULL","NULL","Racing Club","LS",9,"01/04/2016",2019,79,"174 cm","74 kg","Right","03/02/1983",34,"ST"
699,"Guillermo Ochoa","Mexico","GK",13,"Granada CF","GK",13,"08/01/2014",2017,79,"185 cm","77 kg","Right","07/13/1985",31,"GK"
700,"Bruno Alves","Portugal","Sub",2,"Cagliari","RCB",2,"07/01/2016",2018,79,"189 cm","81 kg","Right","11/27/1981",35,"CB"
701,"Burak Yilmaz","Turkey","ST",17,"Free Agents","Res",99,"02/17/2016",2020,79,"188 cm","81 kg","Right","07/15/1985",31,"ST"
702,"Diego Benaglio","Switzerland","NULL","NULL","VfL Wolfsburg","GK",1,"01/01/2008",2017,79,"194 cm","89 kg","Right","09/08/1983",33,"GK"
703,"Zoran Tošic","Serbia","NULL","NULL","CSKA Moscow","RM",7,"07/01/2010",2017,79,"171 cm","71 kg","Left","04/28/1987",29,"RM"
704,"Maxwell","Brazil","NULL","NULL","PSG","Sub",17,"01/01/2012",2017,79,"176 cm","73 kg","Left","08/27/1981",35,"LB"
705,"Kim Källström","Sweden","NULL","NULL","Djurgårdens IF","LCM",16,"02/10/2017",2021,79,"185 cm","83 kg","Left","08/24/1982",34,"CM/CDM"
706,"Tim Howard","United States","GK",1,"Colorado Rapids","GK",1,"07/04/2016",2020,79,"191 cm","88 kg","Right","03/06/1979",38,"GK"
707,"Denys Boyko","Ukraine","NULL","NULL","Málaga CF","Sub",13,"01/22/2016",2020,78,"194 cm","82 kg","Right","01/29/1988",29,"GK"
708,"Marcus Rashford","England","Sub",20,"Manchester Utd","Sub",19,"07/01/2014",2020,78,"187 cm","72 kg","Right","10/31/1997",19,"ST/RM"
709,"Miguel Almirón","Paraguay","CAM",23,"Free Agents","Res",99,"01/01/2017",2020,78,"177 cm","61 kg","Left","02/01/1994",23,"CAM"
710,"Gabriel Jesus","Brazil","Sub",9,"Manchester City","Sub",33,"08/03/2016",2021,78,"175 cm","67 kg","Right","04/03/1997",19,"ST/CF"
711,"Oyarzabal","Spain","NULL","NULL","Real Sociedad","LW",18,"07/01/2014",2022,78,"181 cm","78 kg","Left","04/21/1997",19,"LW/ST"
712,"André Silva","Portugal","RS",18,"FC Porto","RS",10,"07/01/2013",2021,78,"185 cm","79 kg","Right","11/06/1995",21,"ST"
713,"Soares","Brazil","NULL","NULL","FC Porto","LS",29,"01/23/2017",2021,78,"187 cm","82 kg","Right","01/17/1991",26,"ST"
714,"Nemanja Radoja","Serbia","NULL","NULL","Celta Vigo","RCM",6,"08/18/2014",2019,78,"186 cm","77 kg","Right","02/06/1993",24,"CM/CDM"
715,"Marcos Acuña","Argentina","Sub",18,"Racing Club","LM",17,"07/19/2014",2018,78,"172 cm","77 kg","Left","10/28/1991",25,"LM"
716,"Jorge Meré","Spain","NULL","NULL","Sporting Gijón","RCB",4,"08/01/2014",2019,78,"182 cm","77 kg","Right","04/17/1997",19,"CB"
717,"Jony","Spain","NULL","NULL","Málaga CF","Sub",21,"07/01/2016",2020,78,"179 cm","80 kg","Left","07/09/1991",25,"LM/RM"
718,"Antonio Sanabria","Paraguay","NULL","NULL","Real Betis","Sub",9,"07/15/2016",2021,78,"180 cm","70 kg","Right","03/04/1996",21,"ST/LM"
719,"Cheikh NDoye","Senegal","NULL","NULL","Angers SCO","RCM",17,"06/23/2015",2017,78,"192 cm","90 kg","Right","03/29/1986",31,"CM"
720,"José Izquierdo","Colombia","NULL","NULL","Club Brugge","LW",11,"08/30/2014",2019,78,"171 cm","75 kg","Right","07/07/1992",24,"LW"
721,"Gonzalo Escalante","Argentina","NULL","NULL","SD Eibar","RDM",5,"01/11/2016",2020,78,"182 cm","75 kg","Right","03/27/1993",24,"CDM/RM"
722,"Theo Bongonda","Belgium","NULL","NULL","Celta Vigo","LW",7,"01/09/2015",2019,78,"177 cm","71 kg","Left","11/20/1995",21,"LW/RW"
723,"Sebastián Torrico","Argentina","NULL","NULL","San Lorenzo","GK",12,"04/25/2013",2017,78,"186 cm","84 kg","Right","02/22/1980",37,"GK"
724,"Morales","Spain","NULL","NULL","Levante UD","LM",11,"06/01/2011",2018,78,"180 cm","70 kg","Right","07/23/1987",29,"LM/RM"
725,"Wendell","Brazil","NULL","NULL","Bayer 04","LB",18,"07/01/2014",2021,78,"176 cm","68 kg","Left","07/20/1993",23,"LB"
726,"Andrej Kramaric","Croatia","NULL","NULL","1899 Hoffenheim","LS",27,"01/16/2015",2020,78,"177 cm","73 kg","Right","06/19/1991",25,"ST/LW"
727,"Davide Zappacosta","Italy","Sub",22,"Torino","RB",7,"07/10/2015",2020,78,"182 cm","70 kg","Right","06/11/1992",24,"RB/RM"
728,"Jemerson","Brazil","NULL","NULL","AS Monaco","LCB",5,"01/31/2016",2020,78,"184 cm","77 kg","Right","08/24/1992",24,"CB"
729,"Lucas Alario","Argentina","NULL","NULL","River Plate","LS",13,"07/07/2015",2020,78,"178 cm","67 kg","Right","10/08/1992",24,"ST"
730,"Duván Zapata","Colombia","Sub",18,"Udinese","ST",9,"08/26/2013",2018,78,"189 cm","88 kg","Right","04/01/1991",25,"ST"
