"id","name","weak_foot","skill_moves","ball_control","dribbling","marking","sliding_tackle","standing_tackle","aggression","reactions","att_positions","interceptions","crossing","short_pass","long_pass","shot_power","finishing","long_shots","curve","freekick_accuracy","volleys"
1453,"Matt Ritchie",4,3,75,76,56,53,57,69,73,74,46,76,71,66,76,73,77,72,65,75
1454,"Fabio Borini",3,3,75,77,13,24,26,70,77,78,30,70,75,62,76,76,66,65,61,75
1455,"Gaël Kakuta",3,4,81,80,23,25,41,42,68,67,46,82,74,64,77,68,63,77,69,62
1456,"Diego Ângelo",2,2,62,60,78,74,78,75,65,57,78,70,68,66,84,52,72,63,77,28
1457,"Andrea Poli",3,3,79,77,56,60,60,71,72,69,69,68,80,74,70,61,71,72,68,69
1458,"Michal Pazdan",5,2,63,49,80,72,73,92,73,45,74,53,66,64,64,35,55,48,41,41
1459,"Maurício",4,3,81,77,76,74,75,70,72,73,70,65,82,77,76,65,79,77,78,70
1460,"Marcelo Larrondo",3,3,75,72,22,18,24,76,74,78,20,50,77,54,74,78,57,67,41,66
1461,"Michael Lang",4,2,74,54,77,77,79,69,59,63,74,78,75,72,73,65,67,45,55,60
1462,"Jonathan Biabiany",3,3,78,80,20,30,30,55,74,72,24,74,74,54,70,66,57,67,47,68
1463,"Kolbeinn Sigþórsson",3,2,69,66,30,32,46,63,74,77,40,48,63,60,79,77,68,53,54,71
1464,"Lamine Koné",2,2,62,46,71,69,78,81,71,54,75,60,60,50,55,34,29,39,28,29
1465,"Gregory van der Wiel",3,3,76,75,73,75,75,75,78,74,69,78,75,71,74,60,68,55,22,57
1466,"Maxi Moralez",4,3,78,77,22,34,28,68,74,72,20,74,76,68,69,66,70,76,78,70
1467,"Gabriel Mercado",3,2,70,53,73,74,75,81,71,61,78,68,67,64,63,52,55,56,54,25
1468,"Siphiwe Tshabalala",3,4,76,78,33,32,40,49,75,72,37,74,73,65,69,75,76,72,75,71
1469,"Anthony Mounier",2,3,82,80,28,28,32,60,70,78,38,74,76,64,70,66,66,78,65,74
1470,"Gottardi",3,1,17,15,17,12,13,34,74,13,22,13,18,13,18,11,12,15,18,12
1471,"Simon Terodde",4,2,73,61,11,19,40,74,76,79,23,50,69,40,79,80,69,38,44,74
1472,"Nils Petersen",5,2,71,64,30,21,29,60,80,81,32,56,63,49,78,79,63,54,45,79
1473,"Giovanni Sio",3,3,75,75,17,12,18,75,71,75,18,69,74,68,76,78,74,73,70,73
1474,"Fabian Frei",3,2,75,70,67,69,70,61,70,76,73,74,78,74,80,68,74,71,65,76
1475,"Fin Bartels",3,4,80,78,37,28,36,56,74,74,50,67,73,66,70,69,69,64,56,65
1476,"Marc Albrighton",3,3,76,77,41,45,47,73,70,72,56,83,72,68,71,69,67,82,71,72
1477,"Ciaran Clark",2,2,63,53,75,80,77,82,72,50,75,39,64,63,71,43,54,52,43,62
1478,"Mërgim Mavraj",3,2,63,36,78,76,81,74,69,20,69,47,65,45,45,25,26,43,53,33
1479,"Sebastian De Maio",3,2,43,28,79,77,78,77,68,19,75,11,54,42,51,20,37,23,39,20
1480,"Koo Ja Cheol",4,4,78,80,51,47,60,55,73,74,57,72,75,71,80,74,78,76,72,75
1481,"Marcelo Martins",4,3,71,70,22,23,24,71,73,82,24,58,69,55,80,79,71,57,57,71
1482,"Albin Ekdal",3,3,80,76,54,64,70,83,76,72,70,69,77,77,72,60,69,74,70,66
1483,"Rhodolfo",3,2,61,54,77,79,78,79,72,47,76,47,68,65,65,48,56,45,57,53
1484,"Luisinho",3,2,77,77,70,79,78,82,74,66,75,76,77,68,59,49,53,67,59,45
1485,"Dejan Damjanovic",4,3,72,68,20,23,21,70,73,76,35,61,68,54,78,75,75,63,66,74
1486,"Eren Derdiyok",3,3,71,68,12,18,31,46,71,80,26,60,71,63,79,77,75,60,64,78
1487,"Thomas Kraft",4,1,21,13,13,20,19,40,74,13,20,14,35,28,23,14,16,11,12,13
1488,"Damien Da Silva",4,2,68,42,75,76,77,82,64,39,78,49,69,51,28,25,41,28,31,36
1489,"Emiliano Insúa",2,3,74,73,76,77,77,79,74,70,78,78,76,73,85,50,76,59,68,64
1490,"Pablo Hernández",3,4,82,81,42,36,47,54,68,72,49,75,72,69,76,67,77,81,77,65
1491,"Miralem Sulejmani",3,3,80,80,29,26,36,32,70,72,26,74,71,65,75,72,71,83,74,70
1492,"Marko Marin",4,4,81,82,26,22,23,35,60,70,25,73,77,66,63,60,73,82,74,75
1493,"Adrián González",3,3,81,76,59,68,70,70,78,72,68,69,78,69,58,75,70,81,69,51
1494,"Erik Pieters",2,2,73,64,77,81,80,85,71,61,76,64,75,64,51,32,36,67,56,34
1495,"Papa Kouli Diop",3,3,76,63,61,74,80,89,75,59,79,58,74,72,82,57,71,70,69,67
1496,"Sergio Sánchez",2,2,69,44,80,75,77,76,71,60,79,69,63,60,59,53,41,35,30,51
1497,"Granero",4,3,78,72,51,53,68,73,74,61,69,78,83,82,78,66,73,80,76,53
1498,"Lucas Deaux",2,2,72,65,70,74,76,79,69,61,73,59,76,76,66,47,54,52,41,32
1499,"Sidney Sam",3,3,77,79,23,27,33,70,73,74,35,72,72,59,80,72,75,75,68,78
1500,"Martin Harnik",4,3,70,74,39,42,32,72,76,78,39,68,74,69,76,72,67,73,52,75
1501,"Nabil Dirar",4,3,79,82,43,32,33,70,69,70,44,77,77,67,70,65,68,72,62,62
1502,"Ludovic Baal",3,2,69,64,75,72,76,75,68,34,73,71,73,65,50,44,58,53,50,56
1503,"Bojan Jokic",3,2,74,62,75,78,73,81,69,60,74,80,76,69,68,48,61,62,59,56
1504,"Fabian Lustenberger",3,2,70,62,76,78,82,76,77,32,83,45,74,68,47,32,35,38,36,34
1505,"Stefan Aigner",4,3,74,76,30,36,37,62,76,77,54,74,74,67,71,72,62,59,63,68
1506,"Andreas Beck",3,3,74,74,79,75,76,74,76,47,74,74,75,71,70,29,62,77,65,32
1507,"Simone Missiroli",3,3,77,74,60,63,72,63,75,75,75,68,78,73,68,66,61,68,60,66
1508,"Yeom Ki Hun",3,3,73,72,24,22,23,55,72,77,63,84,78,74,80,71,72,84,85,63
1509,"Jozy Altidore",4,3,71,72,26,27,34,84,68,75,32,39,70,59,81,76,70,66,69,69
1510,"Jelle Vossen",4,3,73,68,33,40,39,64,78,82,48,67,74,68,79,80,76,72,70,83
1511,"Sacha Kljestan",4,3,75,73,59,59,65,70,77,77,59,76,78,73,70,66,71,70,73,64
1512,"Sven Kums",4,2,78,73,63,68,72,68,72,66,73,74,80,77,69,57,71,74,73,67
1513,"Cristian Riveros",3,2,76,69,63,62,61,72,72,76,65,74,81,77,71,69,71,67,68,64
1514,"Gonzalo Castro",3,3,80,82,23,37,42,53,80,79,40,76,72,58,72,68,69,72,69,63
1515,"Adrián",3,3,84,82,21,16,19,58,75,78,32,60,73,55,74,74,69,76,57,74
1516,"Joselu",3,3,76,75,17,15,24,57,74,78,19,58,70,49,78,74,73,76,71,75
1517,"James Tomkins",2,2,58,50,77,80,79,73,73,45,74,45,61,60,40,29,29,33,31,28
1518,"Siqueira",3,3,75,75,69,80,74,80,75,57,76,80,68,80,80,56,59,82,68,45
1519,"Luca Cigarini",4,2,79,71,58,60,66,62,70,62,70,76,82,82,74,58,74,76,78,70
1520,"Keiren Westwood",4,1,22,20,20,19,20,38,66,15,22,20,28,23,24,11,20,11,12,14
1521,"Jonas Lössl",2,1,19,15,12,15,13,17,72,10,20,14,30,34,22,12,15,14,13,11
1522,"Mikel Gonzalez",4,2,54,44,80,79,81,78,70,42,73,52,63,53,62,33,31,44,50,41
1523,"Paul Aguilar",3,2,71,68,73,75,73,75,69,60,72,76,70,70,70,59,74,67,51,64
1524,"Aythami Artiles",3,2,58,45,77,72,81,79,68,42,73,45,73,71,38,43,37,44,41,47
1525,"Andrey Eschenko",3,2,73,62,71,77,75,76,73,56,74,77,69,70,56,61,50,50,49,39
1526,"Lorenzo De Silvestri",3,2,73,71,71,77,77,71,75,66,75,78,70,66,74,40,75,64,62,60
1527,"Tarik Elyounoussi",4,4,77,82,43,28,33,43,73,72,36,72,69,47,75,72,73,58,69,70
1528,"Scott Sinclair",2,4,77,79,19,28,30,45,62,75,45,72,72,50,74,75,65,69,69,65
1529,"Andrea Masiello",2,2,58,54,79,77,79,77,72,31,79,66,66,63,63,23,41,47,35,52
1530,"Danijel Milicevic",4,3,77,72,29,30,25,39,77,77,38,81,78,80,77,77,79,79,83,76
1531,"Hugo Rodallega",3,3,75,75,28,33,38,54,71,75,44,69,69,60,76,76,72,74,71,71
1532,"Roman Shishkin",3,3,75,66,78,76,74,73,77,60,75,76,74,71,64,61,65,70,71,37
1533,"Mikhail Kerzhakov",3,1,22,12,15,20,19,21,72,18,16,20,23,26,15,12,14,19,15,11
1534,"Alan Kasaev",4,4,76,78,26,28,32,58,77,74,34,73,76,72,70,72,68,72,61,68
1535,"Brad Jones",2,1,22,18,11,13,13,40,75,17,23,19,28,18,24,17,11,13,12,11
1536,"Doka",3,3,77,79,31,28,33,61,67,74,29,76,75,70,81,69,79,73,71,69
1537,"Mariano Izco",3,2,78,78,68,64,74,72,76,61,75,70,78,74,82,58,70,68,50,60
1538,"Lior Refaelov",4,4,79,81,16,26,25,38,73,78,29,71,74,69,73,75,77,73,67,76
1539,"Caio",4,3,80,80,12,22,18,65,71,78,60,75,74,70,84,76,82,83,82,71
1540,"Eduardo",3,1,32,11,13,20,20,28,70,11,24,13,22,32,38,20,18,11,14,11
1541,"Julien Féret",4,3,79,74,46,55,58,58,75,77,59,73,76,75,75,74,75,73,71,70
1542,"Stéphane Sessègnon",3,4,80,80,63,66,68,72,74,70,71,78,74,70,75,71,69,76,67,69
1543,"Jonathan Orozco",4,1,25,24,14,20,15,41,73,13,12,12,48,49,24,14,12,14,14,14
1544,"Rolando",2,2,63,57,75,74,81,76,64,45,77,44,68,65,62,20,48,46,50,37
1545,"James Morrison",3,3,77,78,55,64,60,69,75,73,59,83,78,73,80,72,78,64,63,83
1546,"Marvin Matip",2,2,61,46,73,73,76,80,75,41,77,49,67,63,66,39,47,42,47,34
1547,"Néstor Ortigoza",3,2,82,64,63,55,58,82,81,65,68,62,85,84,74,46,51,56,67,34
1548,"Jesús Gámez",3,2,74,63,79,78,81,86,73,47,79,78,64,66,84,37,51,65,51,44
1549,"Abraham",4,3,74,65,70,66,71,70,70,64,70,72,85,82,77,59,73,81,72,47
1550,"Trashorras",3,3,77,64,69,67,69,74,74,60,73,73,82,81,72,60,74,81,80,59
1551,"Julio Alberto Barroso",3,2,67,43,80,75,77,51,76,44,75,51,65,64,64,43,52,25,55,46
1552,"Pirmin Schwegler",4,2,75,74,73,73,73,68,75,68,78,71,80,76,77,61,77,60,74,65
1553,"Oribe Peralta",4,3,75,72,22,39,35,78,75,80,42,62,70,64,73,77,68,66,56,74
1554,"Gelson Fernandes",3,2,69,68,74,70,77,87,72,61,79,59,75,70,67,51,55,57,55,55
1555,"Aaron Hunt",3,3,78,77,28,35,34,59,78,75,55,77,77,69,75,71,74,77,76,75
1556,"Mounir Obbadi",4,3,77,71,66,73,71,75,69,65,75,76,80,76,75,66,70,61,77,67
1557,"Guillaume Hoarau",2,3,71,70,45,35,53,63,76,80,34,66,74,62,72,80,68,66,54,73
1558,"José de Jesús Corona",3,1,23,13,12,12,13,11,73,15,23,17,33,33,23,15,17,14,12,12
1559,"Charlie Adam",3,3,76,72,58,57,61,88,68,77,60,82,81,81,85,74,81,79,76,75
1560,"Alexandr Belenov",3,1,14,14,18,11,14,35,70,17,21,11,16,23,17,11,15,12,13,15
1561,"Àngel Rangel",3,3,75,73,78,77,80,68,75,65,82,80,70,71,66,56,59,63,57,43
1562,"Jean-Louis Leca",3,1,25,13,10,12,14,51,67,11,22,12,22,24,16,11,13,13,12,11
1563,"Rubens Sambueza",3,4,79,75,40,46,48,85,75,68,60,78,77,78,75,66,72,82,75,61
1564,"Jason Puncheon",2,3,75,76,58,50,54,72,72,76,48,77,76,74,77,69,74,76,78,70
1565,"Jaroslav Drobný",2,1,22,15,14,13,13,23,76,8,14,13,35,33,22,14,15,12,12,19
1566,"Wes Hoolahan",2,4,80,75,44,45,54,39,74,73,35,73,78,73,70,66,69,65,67,62
1567,"Vladimir Gabulov",2,1,24,14,11,17,11,37,74,18,22,19,29,20,16,13,12,20,11,13
1568,"Diego Castro",4,4,80,82,35,40,42,65,80,80,45,78,69,64,73,72,73,81,72,68
1569,"Cejudo",5,3,82,80,41,53,55,80,82,77,51,78,70,72,81,61,67,73,61,67
1570,"Andrés Fernández",3,1,18,14,11,15,14,40,75,14,26,17,35,40,22,13,22,24,12,23
1571,"Yalçin Ayhan",2,2,60,46,76,74,78,86,68,21,76,31,60,45,42,32,25,32,38,23
1572,"Boštjan Cesar",3,2,58,54,81,74,78,70,66,20,80,20,54,54,47,14,32,24,27,28
1573,"Leonardo Ponzio",3,2,74,65,79,77,76,80,78,69,76,67,75,74,79,47,70,57,70,41
1574,"Alejandro Domínguez",4,3,80,77,34,47,24,60,71,76,28,70,78,74,80,73,81,83,75,73
1575,"Darren Fletcher",3,2,75,65,79,78,81,80,80,57,84,72,82,79,77,65,73,65,47,60
1576,"Marc Janko",2,2,72,61,28,22,37,71,75,84,26,49,58,37,78,80,73,53,53,74
1577,"Marco Storari",2,1,20,21,11,11,14,31,69,11,14,14,32,35,21,12,14,11,12,12
1578,"Daniele Gastaldello",3,2,56,54,80,74,80,74,70,30,82,34,56,64,49,35,39,37,23,33
1579,"Giampaolo Pazzini",3,2,74,64,16,20,22,70,70,86,20,50,65,40,68,83,40,63,40,80
1580,"Franco Brienza",4,3,84,80,46,58,54,50,76,70,68,76,80,76,78,56,78,80,75,74
1581,"Stijn Schaars",3,3,74,68,64,69,68,72,74,68,82,82,78,85,75,61,71,75,76,67
1582,"Alexis",3,2,63,48,76,73,75,82,63,53,72,57,75,63,67,22,24,49,43,40
1583,"Hasan Ali Kaldirim",2,3,75,72,76,74,75,74,74,66,72,73,75,74,73,52,68,78,32,42
1584,"Ersan Gülüm",2,2,58,60,72,71,79,87,76,39,77,48,67,65,70,48,55,30,44,38
1585,"Marco Borriello",2,2,75,69,18,20,24,58,70,80,24,55,68,45,80,80,50,61,64,70
1586,"Kolo Touré",3,2,62,53,73,77,76,83,62,46,73,41,70,65,73,56,66,60,65,36
1587,"Achille Emaná",3,4,80,77,44,58,64,70,71,70,55,67,78,73,79,67,69,73,70,67
1588,"Gareth McAuley",3,2,66,27,77,69,81,79,75,45,76,49,53,51,44,50,30,39,33,23
1589,"Artur Boruc",3,1,18,14,13,20,20,38,72,17,25,12,25,34,21,11,15,13,19,13
1590,"Alberto Aquilani",4,2,82,77,53,58,61,61,67,65,65,79,82,83,81,61,80,80,75,75
1591,"Wayne Routledge",2,4,77,83,30,46,37,36,73,72,39,74,73,72,68,69,55,61,28,71
1592,"Matthias Lehmann",3,2,73,65,68,72,74,76,74,58,77,66,79,74,75,58,71,70,71,56
1593,"Steven Pienaar",4,4,78,79,60,32,34,71,76,72,62,77,79,75,75,67,71,75,76,73
1594,"Ludovic Butelle",3,1,23,11,11,11,11,40,68,15,25,11,31,23,24,11,12,10,15,12
1595,"Emiliano Moretti",3,2,64,49,78,74,78,74,71,31,85,51,59,59,56,16,39,55,33,27
1596,"Jonas Olsson",3,2,64,47,74,70,72,82,80,50,81,60,70,61,61,56,57,59,60,50
1597,"James Collins",3,2,59,38,74,77,78,85,70,34,75,38,59,65,70,38,51,29,64,36
1598,"Nick Rimando",4,1,38,20,12,13,12,31,76,17,25,24,39,39,25,17,15,20,24,12
1599,"Dario Dainelli",3,2,55,50,81,74,78,69,70,16,85,28,56,64,69,22,30,40,31,19
1600,"Maarten Stekelenburg",4,1,31,12,18,14,15,41,73,13,26,18,39,37,13,11,11,13,13,11
1601,"Paolo Cannavaro",3,2,60,45,77,76,77,78,68,35,80,39,62,68,72,30,51,24,24,33
1602,"Carlos Soler",3,3,75,71,68,56,65,49,74,61,69,69,77,76,69,70,73,69,77,49
1603,"Raphinha",3,4,78,80,24,15,25,70,68,72,38,72,67,56,75,70,60,70,54,60
1604,"Mikel Villanueva",3,2,62,36,73,72,79,78,62,28,74,53,67,58,66,27,43,29,47,25
1605,"Federico Ricca",3,3,69,52,72,78,77,81,72,43,73,71,69,56,40,30,34,32,40,24
1606,"Maurício António",3,2,51,46,74,70,74,78,74,23,75,35,68,65,45,27,22,30,29,30
1607,"Adalberto Peñaranda",3,3,81,82,20,31,37,62,71,73,36,64,75,56,73,74,70,65,63,77
1608,"Franck Yannick Kessié",4,2,76,74,68,70,77,76,76,73,77,64,76,73,69,67,60,55,45,38
1609,"Rafael Cachoira",3,2,62,58,74,73,77,84,64,40,75,56,66,76,60,30,42,62,49,49
1610,"Nicholas Aldair",3,4,75,72,38,46,37,67,72,72,40,66,74,58,78,75,73,63,59,74
1611,"Luimo Boas Santos",4,3,76,71,25,19,20,43,79,77,20,42,65,56,75,75,74,79,60,76
1612,"Adilson Edrada",3,4,73,75,31,44,32,43,66,76,38,63,76,58,61,73,73,61,66,68
1613,"Allan Bardinho",4,4,77,77,31,32,33,31,66,72,52,73,75,76,66,71,70,56,55,51
1614,"Simão Acunha",2,3,72,75,25,22,32,48,76,67,45,74,77,73,71,66,72,87,61,67
1615,"Gabrisco Aníbal",3,2,72,59,73,74,70,82,81,65,72,62,76,71,72,57,67,57,54,44
1616,"Davi Parrela",3,2,54,49,75,71,77,88,67,34,71,55,61,62,55,31,44,38,39,44
1617,"Kaimo Lima",3,2,70,68,77,70,76,68,71,59,76,70,74,77,79,50,76,52,70,59
1618,"Victildinho",3,2,77,71,71,73,74,64,74,61,73,72,73,71,54,52,53,61,62,55
1619,"Andeson Trigo",3,2,73,76,65,77,74,70,82,72,62,75,75,72,70,60,61,84,77,59
1620,"Kaíquão Castro",2,1,21,9,10,10,10,55,72,31,31,9,23,22,23,8,7,8,7,9
1621,"Dani Rochelinhas",3,4,76,75,31,32,33,57,74,77,41,66,74,71,55,64,62,72,73,61
1622,"Laure Santeiro",5,4,73,75,31,23,13,41,76,77,31,62,73,63,53,71,61,56,57,55
1623,"Jorginhson",4,2,73,75,72,76,77,72,77,55,76,50,70,75,51,61,56,75,55,41
1624,"Melvin Parrela",3,2,73,71,67,75,74,82,77,67,68,52,74,72,75,68,70,64,68,67
1625,"Otávio Cairinho",3,2,56,44,77,76,75,82,67,36,72,62,64,61,61,43,54,47,55,43
1626,"Caio Nunson",3,2,59,61,72,72,77,93,67,34,66,53,71,57,51,48,58,69,67,44
1627,"Juli Freitinho",3,2,63,51,76,75,74,82,62,67,66,54,73,43,46,44,45,52,50,35
1628,"Alexo Baia",3,2,71,77,77,77,76,81,72,55,71,72,77,74,34,51,51,51,52,39
1629,"Silas Almeim",3,3,67,66,71,77,73,67,73,60,75,77,75,72,68,48,56,61,43,55
1630,"Simão Donatinho",2,1,25,12,10,13,10,42,75,8,15,12,20,20,20,10,14,20,10,11
1631,"Gastón Pereiro",2,4,82,79,39,36,40,57,73,72,30,69,71,58,82,75,77,64,70,68
1632,"Aminu Umar",3,3,78,80,21,54,60,78,70,74,66,66,72,62,75,67,71,59,47,54
1633,"Yoshinori Muto",4,3,76,80,32,30,20,50,77,79,26,70,75,59,73,76,68,65,46,74
1634,"Viktor Kovalenko",4,3,77,75,59,55,59,57,68,73,68,71,76,68,74,71,73,75,75,76
1635,"Kasper Dolberg",4,3,78,74,20,19,24,52,67,73,21,42,68,54,85,75,77,67,70,68
1636,"Benjamin Henrichs",4,3,77,75,75,69,76,61,77,58,69,77,77,66,62,50,46,71,49,53
1637,"Christian Pulisic",4,4,77,82,28,33,30,44,74,68,30,63,73,59,72,71,54,62,58,67
1638,"Lucas Tousart",3,2,72,71,70,72,76,80,72,65,74,61,76,72,78,42,64,36,45,43
1639,"Jakub Jankto",3,3,78,76,57,64,69,66,73,72,62,70,77,73,74,60,73,71,50,55
1640,"André Horta",3,3,78,80,65,58,68,66,77,74,68,64,76,73,76,58,66,71,50,69
1641,"Presnel Kimpembe",2,2,62,53,77,79,77,72,68,34,77,30,65,46,47,25,27,28,32,28
1642,"Hernani",2,2,73,69,76,69,75,78,79,69,74,63,76,72,75,66,77,54,75,57
1643,"David García",3,2,75,61,70,73,75,80,70,58,77,53,73,66,43,35,25,33,38,37
1644,"Mikel Merino",3,2,80,76,54,65,76,81,71,70,73,59,81,78,63,62,67,68,69,58
1645,"Orbelín Pineda",4,3,75,77,66,65,65,67,72,68,67,67,76,73,73,65,72,68,56,67
1646,"Rúben Neves",3,3,75,73,69,68,74,70,72,63,75,72,80,78,77,59,74,75,70,64
1647,"Cristian Pavón",3,3,74,78,25,26,28,56,66,70,19,62,76,66,75,72,81,71,77,58
1648,"Lucas Torreira",3,3,78,74,60,67,73,78,73,65,74,67,79,76,62,50,59,62,32,50
1649,"Erdem Sen",3,2,73,70,76,73,77,72,70,65,81,61,75,67,71,65,72,62,68,61
1650,"Afonso Figueiredo",3,2,74,71,73,78,76,74,75,61,76,70,69,61,75,31,34,67,37,35
1651,"Mario Pašalic",4,3,76,74,68,64,68,76,76,71,71,68,78,74,77,68,75,69,57,64
1652,"Ömer Ali Sahiner",3,3,76,77,65,69,70,74,74,72,69,77,73,66,74,60,65,74,76,65
1653,"Toshihiro Aoyama",3,2,73,69,65,59,71,75,74,50,73,65,77,78,76,51,78,66,63,69
1654,"Alexis Blin",3,2,72,72,75,74,75,70,74,60,76,58,76,68,60,52,55,65,46,48
1655,"Thomas Touré",3,4,75,75,41,35,42,69,69,73,46,69,75,63,69,68,72,76,68,70
1656,"Godfred Donsah",2,2,78,76,60,68,68,74,72,62,62,74,78,76,80,58,72,68,60,58
1657,"Raúl",3,2,57,46,75,70,74,90,68,43,74,56,65,62,65,41,60,37,43,25
1658,"Mislav Oršic",4,3,71,79,32,31,33,40,67,77,29,71,71,67,77,70,70,74,80,68
1659,"Sebastián Driussi",3,3,73,72,15,16,23,48,69,75,20,64,76,64,74,77,71,49,40,73
1660,"Lovre Kalinic",2,1,25,17,13,17,17,37,72,7,24,15,22,19,25,12,19,18,13,15
1661,"Rafael Santos Borré",3,3,74,77,29,22,33,58,69,77,35,63,68,61,72,77,76,82,67,72
1662,"Léo Bonatini",4,3,75,72,32,31,28,67,70,74,33,65,61,56,79,76,74,69,63,70
1663,"Jaume",3,1,32,13,11,31,12,21,69,16,25,30,32,32,42,11,22,25,13,22
1664,"Clément Lenglet",4,2,75,41,76,72,77,70,72,22,75,36,74,69,58,23,35,25,27,24
1665,"Diego Rico",2,2,67,66,68,76,74,70,65,59,72,76,70,57,82,38,72,71,69,53
1666,"Alex Alegría",3,3,74,71,22,25,20,53,76,78,19,47,62,39,74,78,68,66,22,80
1667,"Munir",2,4,80,81,26,22,24,36,68,75,13,60,73,52,72,76,73,60,45,71
1668,"Tana",4,4,75,82,17,15,20,26,70,77,15,63,76,67,65,74,62,66,59,56
1669,"Hamari Traoré",3,2,72,73,59,74,74,73,75,67,76,76,72,70,68,48,58,71,34,32
1670,"Edgar Méndez",2,3,74,75,32,34,45,74,64,72,42,76,70,66,75,72,66,72,33,74
1671,"Jordan Amavi",3,3,73,74,72,75,73,66,72,65,75,77,71,59,77,66,62,68,49,65
1672,"Rodrigo Battaglia",4,2,74,73,71,67,78,77,78,65,80,49,74,70,78,62,77,60,66,59
1673,"Ezequiel Cerutti",4,4,75,77,18,18,17,73,70,69,34,66,72,65,68,62,71,63,51,65
1674,"Djavan",3,2,74,75,71,73,75,72,73,70,71,77,68,52,74,37,43,60,40,33
1675,"Federico Cartabia",3,4,78,81,26,27,35,80,69,70,34,75,77,63,80,69,75,77,72,59
1676,"Franco Mussis",3,3,72,65,72,67,70,84,75,61,79,60,72,70,76,46,78,63,65,49
1677,"Marios Oikonomou",3,2,64,56,78,74,78,70,66,20,76,30,56,60,56,14,22,20,22,20
1678,"Yuriy Gazinskiy",4,2,75,67,76,71,74,76,65,52,75,56,78,76,64,55,50,45,44,50
1679,"Seko Fofana",3,3,78,79,59,63,71,72,68,70,67,62,76,72,75,60,74,61,42,49
1680,"Andrew Robertson",2,2,74,69,71,69,73,69,71,64,71,78,68,59,67,59,61,68,30,32
1681,"Tin Jedvaj",3,2,68,60,78,76,78,83,74,49,76,67,69,60,65,51,39,45,30,43
1682,"Maxwel Cornet",4,3,79,78,22,26,32,52,69,74,27,66,69,48,74,76,67,72,52,68
1683,"Aleksandar Mitrovic",4,2,71,68,14,13,24,89,73,77,14,29,64,43,80,76,66,39,52,82
1684,"Naranjo",4,3,76,78,19,17,23,39,73,76,14,68,66,62,72,79,73,67,64,58
1685,"Deniz Türüç",4,3,76,76,54,55,61,60,73,62,64,79,76,73,78,61,75,82,79,60
1686,"Rúben Vezo",2,2,59,47,80,74,76,79,61,33,77,56,67,64,59,44,55,56,32,43
1687,"Jonathan Schunke",3,2,62,32,79,64,77,74,79,24,68,35,73,73,33,26,23,29,32,35
1688,"Martín Cauteruccio",3,3,74,73,37,39,39,61,71,75,42,55,67,60,77,75,74,69,74,75
1689,"Lucas Zelarayán",3,4,75,79,44,35,43,50,69,69,44,71,73,72,73,64,65,74,73,69
1690,"Luciano Lollo",2,2,55,37,77,72,78,73,73,33,71,34,57,32,42,25,25,27,29,28
1691,"Milton Casco",4,2,72,70,70,75,72,78,66,70,71,68,70,65,78,58,68,68,58,21
1692,"Paolo Goltz",3,2,62,58,74,72,74,88,72,45,72,55,65,66,70,48,62,73,68,53
1693,"Luis Quiñones",4,3,73,76,16,23,23,59,73,70,21,71,68,66,71,70,67,61,40,70
1694,"William Tesillo",3,2,60,49,77,74,74,69,74,40,85,55,60,59,27,22,26,30,32,31
1695,"Yimmi Chará",4,4,73,75,29,57,61,57,72,69,42,65,72,65,70,67,61,41,31,63
1696,"Jefferson Lerma",4,2,75,71,60,80,75,78,72,58,74,69,76,71,80,56,71,67,68,53
1697,"Pierre-Emile Højbjerg",4,3,77,75,65,64,72,78,75,62,74,66,76,74,76,52,73,69,70,60
1698,"Facundo Ferreyra",3,3,76,69,14,23,22,48,76,74,23,49,63,53,75,76,75,46,40,63
1699,"Laurent Depoitre",3,2,74,65,15,38,46,77,72,77,32,42,70,59,77,75,63,46,29,69
1700,"Hernâni",3,4,77,79,14,23,19,42,76,77,21,72,68,64,67,64,63,70,58,62
1701,"Jorrit Hendrix",4,2,75,72,71,68,70,69,74,69,77,57,76,83,66,51,57,52,34,50
1702,"Leonel Vangioni",2,3,74,71,72,74,74,85,70,68,75,76,69,69,78,51,73,71,51,61
1703,"Arthur Masuaku",2,2,76,78,73,73,74,65,75,70,66,75,71,68,77,69,71,69,48,61
1704,"Avilés Hurtado",4,3,76,81,45,48,58,60,72,75,40,68,74,68,67,75,62,63,61,70
1705,"Riechedly Bazoer",3,3,81,76,54,64,67,72,76,68,67,70,79,74,72,58,67,68,41,69
1706,"Enzo Roco",3,2,68,61,77,69,75,66,73,42,72,40,70,60,45,43,39,27,31,27
1707,"Camilo Vargas",3,1,19,16,13,15,19,22,71,12,23,16,23,24,25,16,13,25,23,13
1708,"Karol Linetty",3,2,76,74,63,67,76,79,73,72,77,59,78,73,64,60,61,62,35,37
1709,"Danilo Cataldi",3,3,77,72,66,68,70,74,70,67,71,70,78,75,75,66,75,67,69,65
1710,"Ricardo Kishna",3,5,85,85,22,29,32,43,71,62,20,76,64,61,71,66,66,72,65,68
1711,"Rubén Blanco",3,1,10,17,22,11,11,22,66,11,22,18,35,29,25,18,15,18,13,19
1712,"Víctor Rodríguez",4,3,80,76,54,44,47,52,66,74,33,69,73,66,74,69,74,69,77,52
1713,"Douglas Santos",3,2,77,75,74,80,72,66,74,73,71,72,65,64,79,49,70,68,69,50
1714,"Renato Steffen",3,3,75,77,26,35,32,65,63,71,19,70,73,70,73,68,72,72,69,79
