"id","name","penalty"
1023,"Nicolas De Préville",67
1024,"Marafona",23
1025,"Marko Devic",74
1026,"Mark Uth",72
1027,"Nicolás Blandi",78
1028,"Campaña",69
1029,"Marco van Ginkel",64
1030,"Wilson Eduardo",73
1031,"Ramiro Funes Mori",52
1032,"Dennis Praet",56
1033,"Sergi Gómez",41
1034,"Brice Dja Djédjé",58
1035,"Sergio Álvarez",41
1036,"Juan Manuel Iturbe",62
1037,"Luis Muriel",74
1038,"Vincent Aboubakar",76
1039,"Nampalys Mendy",55
1040,"Luis Alberto",56
1041,"Florentin Pogba",38
1042,"Stefan Bell",52
1043,"Rodrigo",82
1044,"Benjamin Stambouli",50
1045,"Jordi Amat",28
1046,"Jens Toornstra",56
1047,"Papy Djilobodji",27
1048,"Ioannis Fetfatzidis",65
1049,"Danny Ings",68
1050,"Javi López",56
1051,"Andros Townsend",83
1052,"Montoya",50
1053,"Shinji Okazaki",74
1054,"Alper Potuk",56
1055,"André Pinto",46
1056,"Nemanja Pejcinovic",37
1057,"Germán Pezzella",35
1058,"Mattia Destro",69
1059,"Guram Kashia",51
1060,"Ezequiel Schelotto",54
1061,"Marko Baša",60
1062,"Costel Pantilimon",21
1063,"Marvin Plattenhardt",61
1064,"Bóveda",59
1065,"Andrea Bertolacci",56
1066,"Diego Reyes",50
1067,"Sébastien Corchia",67
1068,"Tomás Rincón",46
1069,"Tolgay Arslan",76
1070,"Jan Kirchhoff",43
1071,"Sebastián Blanco",61
1072,"Rubén Pérez",50
1073,"Luuk de Jong",58
1074,"Éder",73
1075,"Tom Cleverley",72
1076,"Victor Sánchez",61
1077,"Benjamin Hübner",50
1078,"Souza",63
1079,"Bastian Oczipka",63
1080,"Marcel Risse",72
1081,"Jonjo Shelvey",71
1082,"Mauro Díaz",69
1083,"Gustavo Bou",71
1084,"Mirko Valdifiori",52
1085,"Admir Mehmedi",69
1086,"Thomas Heurtaux",39
1087,"Lautaro Acosta",63
1088,"Daryl Janmaat",62
1089,"Lewis Holtby",66
1090,"Juanfran",59
1091,"Maicon",65
1092,"Wanderson",69
1093,"Mauricio Isla",71
1094,"Dayro Moreno",80
1095,"Alberto Paloschi",79
1096,"Christian Träsch",51
1097,"Cheikhou Kouyaté",52
1098,"Geoff Cameron",63
1099,"Ivan Radovanovic",58
1100,"Sven Ulreich",22
1101,"Leroy Fer",72
1102,"Kieran Trippier",39
1103,"Luca Rossettini",45
1104,"Benjamin Moukandjo",79
1105,"Kyriakos Papadopoulos",46
1106,"Facundo Roncaglia",35
1107,"Nicolai Müller",73
1108,"Nabil El Zhar",73
1109,"Yuri",59
1110,"Aurélien Chedjou",57
1111,"Henri Saivet",66
1112,"Valentin Stocker",67
1113,"Max Gradel",75
1114,"Roberto Rosales",48
1115,"Carlos Sánchez",62
1116,"Jose Holebas",57
1117,"Beto",23
1118,"Antonio Rukavina",42
1119,"Mapou Yanga-MBiwa",49
1120,"Makoto Hasebe",61
1121,"Marcelo",51
1122,"Charles Kaboré",65
1123,"Mosquera",51
1124,"Stefano Okaka",68
1125,"Kamil Grosicki",69
1126,"Sebastian Prödl",35
1127,"Jonathan De Guzmán",69
1128,"Alessandro Matri",70
1129,"Vadis Odjidja-Ofoe",72
1130,"Felipe Caicedo",73
1131,"Fran Rico",72
1132,"Mariano Andújar",23
1133,"Nathan Dyer",70
1134,"Óscar Trejo",70
1135,"Marco Andreolli",34
1136,"Javi Varas",23
1137,"Perparim Hetemaj",69
1138,"Eljero Elia",65
1139,"Jonatan Maidana",46
1140,"Caner Erkin",74
1141,"Fábio Coentrão",54
1142,"Jay Rodriguez",71
1143,"Lee Cattermole",64
1144,"Darron Gibson",63
1145,"Shane Long",78
1146,"Rémy Riou",23
1147,"Ron Vlaar",67
1148,"Ari",71
1149,"Bebé",65
1150,"Ismael Sosa",60
1151,"Fernando Gago",69
1152,"Itumeleng Khune",49
1153,"Eugen Polanski",79
1154,"Cyril Théréau",73
1155,"Charles",61
1156,"Sergio",23
1157,"Curtis Davies",33
1158,"Younès Kaboul",54
1159,"Andrea Raggi",57
1160,"Glenn Whelan",65
1161,"Guillaume Gillet",69
1162,"Johan Djourou",48
1163,"Mauro Boselli",75
1164,"Valon Behrami",72
1165,"Agirretxe",64
1166,"Jérémy Ménez",81
1167,"Gökhan Inler",74
1168,"Alexandre Song",66
1169,"Alfredo Talavera",44
1170,"Justo Villar",21
1171,"Robert Snodgrass",73
1172,"Yuriy Zhirkov",72
1173,"Mauro Zárate",70
1174,"Steven Davis",62
1175,"Francesco Magnanelli",57
1176,"Paul Verhaegh",86
1177,"Zydrunas Karcemarskas",23
1178,"Alexey Berezutskiy",48
1179,"Iván Ramis",65
1180,"David García",51
1181,"Volkan Demirel",24
1182,"Matías Delgado",84
1183,"Agustín Orión",18
1184,"Leon Britton",59
1185,"Christian Fuchs",68
1186,"Nicolás Burdisso",41
1187,"Esteban Cambiasso",75
1188,"Glen Johnson",60
1189,"Stefan Kießling",79
1190,"Wes Morgan",17
1191,"Jimmy Briand",69
1192,"Michael Dawson",44
1193,"Iraizoz",13
1194,"Jaime Valdés",75
1195,"Jelle Van Damme",63
1196,"Emmanuel Adebayor",79
1197,"Tranquillo Barnetta",70
1198,"Silvio Proto",25
1199,"Daniele Bonera",49
1200,"Rémy Vercoutre",23
1201,"Morgan De Sanctis",21
1202,"Eliseu",64
1203,"Roman Weidenfeller",17
1204,"Emre Belözoglu",85
1205,"Marko Rog",60
1206,"Issa Diop",44
1207,"Amadou Diawara",52
1208,"Ronaldo Cabrais",73
1209,"David Seijalbo",62
1210,"Vieirundinho",47
1211,"Welington Dano",61
1212,"Nelsildo Reis",40
1213,"Fred Aníbão",24
1214,"Gabri Prestão",26
1215,"Rosberto Dourado",77
1216,"Everton Andrão",61
1217,"Eltildo Correia",77
1218,"Juiano Mestres",62
1219,"Antônio Chiamuloira",66
1220,"Leon Bailey",71
1221,"Marko Pjaca",72
1222,"Palhinha",56
1223,"Bart Ramselaar",58
1224,"Moussa Marega",68
1225,"Daniel Podence",63
1226,"André Onana",27
1227,"Aritz Elustondo",43
1228,"Kelechi Iheanacho",74
1229,"Ivan Ordets",34
1230,"Diogo Jota",61
1231,"Gonçalo Guedes",69
1232,"Danilo",41
1233,"Ozan Tufan",53
1234,"Aytaç Sulu",63
1235,"Ahmet Çalik",44
1236,"Breel Embolo",66
1237,"Nikola Vukcevic",53
1238,"Erick Gutiérrez",67
1239,"Lucas Hernández",34
1240,"Andrija Živkovic",60
1241,"Óscar Romero",65
1242,"Enner Valencia",70
1243,"Sebastián Cristóforo",59
1244,"Diego Carlos",41
1245,"José Luis Gómez",45
1246,"Camarasa",56
1247,"Jonathan Calleri",62
1248,"Gustavo Gómez",32
1249,"Genki Haraguchi",56
1250,"Víctor García",40
1251,"Carlos Mané",65
1252,"Maximilian Philipp",59
1253,"Juan Pablo Añor",66
1254,"Matteo Politano",44
1255,"Kenny Tete",43
1256,"Capa",54
1257,"Armando Izzo",37
1258,"Fernando Monetti",24
1259,"Youssouf Sabaly",43
1260,"Deyverson",66
1261,"Gerardo Alcoba",53
1262,"Emiliano Rigoni",60
1263,"Édson Puch",70
1264,"Gastón Lezcano",65
1265,"Silvio Romero",76
1266,"Carlos Izquierdoz",30
1267,"Sebastián Pérez",52
1268,"Alexander Mejía",37
1269,"Frank Fabra",55
1270,"Éder Balanta",43
1271,"Ricardo Horta",71
1272,"Diego Laxalt",49
1273,"Aderllan Santos",60
1274,"Levin Öztunali",58
1275,"Niklas Stark",39
1276,"Nicolás Castillo",86
1277,"Gabriel",83
1278,"Óscar Duarte",37
1279,"Marcos Lopes",65
1280,"Santi Mina",59
1281,"Leander Dendoncker",44
1282,"Medrán",80
1283,"José Sá",11
1284,"Yannick Gerhardt",50
1285,"Iuri Medeiros",75
1286,"Dominik Kohr",47
1287,"Lazar Markovic",70
1288,"Vincenzo Grifo",63
1289,"Robert Beric",71
1290,"Jonathan Gómez",77
1291,"Gianluca Lapadula",72
1292,"Manquillo",46
1293,"Chancel Mbemba",31
1294,"Ricardo Ferreira",43
1295,"Björn Engels",35
1296,"Mauro Dos Santos",46
1297,"Emerson",55
1298,"Marc Stendera",60
1299,"Jonas Hofmann",74
1300,"Ahmed Hassan",79
1301,"Fabian Schär",80
1302,"Thomas Partey",46
1303,"Matías Britos",69
1304,"Guilherme",55
1305,"Omar Mascarell",75
1306,"Christopher Jullien",55
1307,"Martín Mantovani",42
1308,"Alfred Duncan",44
1309,"Marten de Roon",60
1310,"Adnan Januzaj",60
1311,"Romain Saïss",47
1312,"Abdoulaye Doucouré",45
1313,"Matheus",13
1314,"Bertrand Traoré",66
1315,"Pedro Henrique",48
1316,"Roger",76
1317,"Yassine Benzia",76
1318,"João Pereira",64
1319,"Jordan Ferri",54
1320,"Mattia De Sciglio",49
1321,"Amin Younes",58
1322,"Jairo",65
1323,"Stefano Denswil",63
1324,"Lucas Ocampos",64
1325,"James Ward-Prowse",64
1326,"Alberto Moreno",54
1327,"Okay Yokuslu",60
1328,"Fayçal Fajr",73
1329,"Jordan Pickford",41
1330,"Marcel Sabitzer",65
1331,"Emiliano Sala",67
1332,"Mauricio Pereyra",62
1333,"Ricardo Álvarez",63
1334,"Christophe Kerbrat",48
1335,"Julian Korb",49
1336,"Saido Berahino",73
1337,"Santiago Arias",56
1338,"Kerim Frei",64
1339,"Baptiste Reynet",19
1340,"Charly Musonda",54
1341,"Santiago Vergini",49
1342,"Anthony Knockaert",68
1343,"Felipe Gutiérrez",70
1344,"Mohamed Elyounoussi",64
1345,"Robin Knoche",37
1346,"Fabián Castillo",61
1347,"Aleix Vidal",51
1348,"Javi Espinosa",66
1349,"Serantes",18
1350,"Timmy Chandler",50
1351,"Jeffrey Gouweleeuw",42
1352,"Cristiano Piccini",27
1353,"Martin Hinteregger",64
1354,"Robbie Brady",65
1355,"Ermin Bicakcic",39
1356,"Nemanja Nikolic",73
1357,"Geoffrey Kondogbia",45
1358,"Samu García",63
1359,"Lionel Carole",49
1360,"Muhamed Bešic",48
1361,"Lukas Rupp",63
1362,"Steven Berghuis",65
1363,"Alan Patrick",66
1364,"Hans Vanaken",66
1365,"Pedro Obiang",58
1366,"Timor",69
1367,"Josué",75
1368,"Gálvez",44
1369,"Eric Bauthéac",69
1370,"Harun Tekin",18
1371,"Ibai Gómez",65
1372,"Nicolas Pallois",45
1373,"Timm Klose",41
1374,"Sergio León",81
1375,"Bibras Natcho",84
1376,"Raúl Navas",46
1377,"Óscar Murillo",32
1378,"Josip Drmic",74
1379,"Tomás Pina",59
1380,"Billy Ketkeophomphone",54
1381,"Philipp Wollscheid",42
1382,"Celso Ortíz",40
1383,"Jonas Martin",76
1384,"Jordan Ayew",74
1385,"Felix Wiedwald",22
1386,"Khouma Babacar",70
1387,"Adrien Regattin",72
1388,"Callum Wilson",75
1389,"Simone Verdi",60
1390,"Yonathan Del Valle",69
1391,"Macnelly Torres",62
1392,"Esteban Paredes",78
1393,"Joel Robles",15
1394,"Alfreð Finnbogason",85
1395,"Tom Cairney",57
1396,"Aaron Mooy",73
1397,"Jagoš Vukovic",44
1398,"Laguardia",32
1399,"Nenad Tomovic",41
1400,"Pontus Jansson",39
1401,"Andre Gray",74
1402,"André Almeida",43
1403,"Roger",57
1404,"Francesco Bardi",21
1405,"Guido Burgstaller",66
1406,"Diafra Sakho",73
1407,"Pape Souaré",49
1408,"Manuel Schmiedebach",49
1409,"Iago Herrerín",25
1410,"Christian Clemens",55
1411,"Marc Muniesa",50
1412,"Maxime Le Marchand",42
1413,"Sebastian Jung",44
1414,"Maxime Lestienne",69
1415,"Luciano Narsingh",58
1416,"Javier Aquino",67
1417,"Georgiy Schennikov",59
1418,"Alexandr Kokorin",67
1419,"Pedro Morales",86
1420,"Peter Pekarík",52
1421,"Sandro",62
1422,"Pascal Groß",57
1423,"Xandão",41
1424,"Benjamin André",66
1425,"Dominic Maroh",42
1426,"Léonard Kweuke",78
1427,"Matías Caruzzo",57
1428,"Markus Henriksen",63
1429,"Tony Jantschke",51
1430,"Grégory Sertic",71
1431,"Christian Kabasele",53
1432,"Lukasz Skorupski",22
1433,"Aaron Cresswell",59
1434,"Davide Santon",57
1435,"Danny Latza",51
1436,"Alex McCarthy",41
1437,"Bruno Fornaroli",74
1438,"Jimmy Durmaz",65
1439,"Volkan Sen",65
1440,"Jonathan Kodjia",71
1441,"Miguel Angel Britos",51
1442,"Michel Macedo",33
1443,"Serey Dié",50
1444,"Sofiane Hanni",69
1445,"Riccardo Meggiorini",73
1446,"Oupa Manyisa",78
1447,"Cheick Diabaté",80
1448,"Aatif Chahechouhe",85
1449,"Paul-José Mpoku",79
1450,"Dmitriy Tarasov",52
1451,"Siem de Jong",72
1452,"Franco Di Santo",75
1453,"Matt Ritchie",65
1454,"Fabio Borini",81
1455,"Gaël Kakuta",51
1456,"Diego Ângelo",59
1457,"Andrea Poli",68
1458,"Michal Pazdan",31
1459,"Maurício",70
1460,"Marcelo Larrondo",75
1461,"Michael Lang",59
1462,"Jonathan Biabiany",63
1463,"Kolbeinn Sigþórsson",71
1464,"Lamine Koné",31
1465,"Gregory van der Wiel",43
1466,"Maxi Moralez",74
1467,"Gabriel Mercado",49
1468,"Siphiwe Tshabalala",64
1469,"Anthony Mounier",70
1470,"Gottardi",16
1471,"Simon Terodde",55
1472,"Nils Petersen",77
1473,"Giovanni Sio",72
1474,"Fabian Frei",62
1475,"Fin Bartels",60
1476,"Marc Albrighton",60
1477,"Ciaran Clark",55
1478,"Mërgim Mavraj",51
1479,"Sebastian De Maio",46
1480,"Koo Ja Cheol",74
1481,"Marcelo Martins",76
1482,"Albin Ekdal",68
1483,"Rhodolfo",51
1484,"Luisinho",51
1485,"Dejan Damjanovic",72
1486,"Eren Derdiyok",67
1487,"Thomas Kraft",18
1488,"Damien Da Silva",43
1489,"Emiliano Insúa",66
1490,"Pablo Hernández",72
1491,"Miralem Sulejmani",73
1492,"Marko Marin",58
1493,"Adrián González",76
1494,"Erik Pieters",65
1495,"Papa Kouli Diop",61
1496,"Sergio Sánchez",47
1497,"Granero",73
1498,"Lucas Deaux",48
1499,"Sidney Sam",64
1500,"Martin Harnik",72
1501,"Nabil Dirar",52
1502,"Ludovic Baal",66
1503,"Bojan Jokic",49
1504,"Fabian Lustenberger",55
1505,"Stefan Aigner",61
1506,"Andreas Beck",42
1507,"Simone Missiroli",64
1508,"Yeom Ki Hun",72
1509,"Jozy Altidore",75
1510,"Jelle Vossen",75
1511,"Sacha Kljestan",67
1512,"Sven Kums",76
1513,"Cristian Riveros",71
1514,"Gonzalo Castro",64
1515,"Adrián",67
1516,"Joselu",72
1517,"James Tomkins",43
1518,"Siqueira",82
1519,"Luca Cigarini",72
1520,"Keiren Westwood",31
1521,"Jonas Lössl",12
1522,"Mikel Gonzalez",49
1523,"Paul Aguilar",57
1524,"Aythami Artiles",36
1525,"Andrey Eschenko",55
1526,"Lorenzo De Silvestri",52
1527,"Tarik Elyounoussi",65
1528,"Scott Sinclair",82
1529,"Andrea Masiello",31
1530,"Danijel Milicevic",66
1531,"Hugo Rodallega",74
1532,"Roman Shishkin",56
1533,"Mikhail Kerzhakov",24
1534,"Alan Kasaev",63
1535,"Brad Jones",35
1536,"Doka",63
1537,"Mariano Izco",60
1538,"Lior Refaelov",75
1539,"Caio",66
1540,"Eduardo",37
1541,"Julien Féret",72
1542,"Stéphane Sessègnon",77
1543,"Jonathan Orozco",24
1544,"Rolando",48
1545,"James Morrison",69
1546,"Marvin Matip",44
1547,"Néstor Ortigoza",90
1548,"Jesús Gámez",53
1549,"Abraham",63
1550,"Trashorras",80
1551,"Julio Alberto Barroso",70
1552,"Pirmin Schwegler",66
1553,"Oribe Peralta",73
1554,"Gelson Fernandes",50
1555,"Aaron Hunt",81
1556,"Mounir Obbadi",61
1557,"Guillaume Hoarau",81
1558,"José de Jesús Corona",23
1559,"Charlie Adam",83
1560,"Alexandr Belenov",19
1561,"Àngel Rangel",59
1562,"Jean-Louis Leca",14
1563,"Rubens Sambueza",70
1564,"Jason Puncheon",73
1565,"Jaroslav Drobný",24
1566,"Wes Hoolahan",77
1567,"Vladimir Gabulov",18
1568,"Diego Castro",89
1569,"Cejudo",50
1570,"Andrés Fernández",21
1571,"Yalçin Ayhan",36
1572,"Boštjan Cesar",46
1573,"Leonardo Ponzio",70
1574,"Alejandro Domínguez",78
1575,"Darren Fletcher",62
1576,"Marc Janko",81
1577,"Marco Storari",10
1578,"Daniele Gastaldello",41
1579,"Giampaolo Pazzini",85
1580,"Franco Brienza",79
1581,"Stijn Schaars",76
1582,"Alexis",30
1583,"Hasan Ali Kaldirim",40
1584,"Ersan Gülüm",49
1585,"Marco Borriello",74
1586,"Kolo Touré",57
1587,"Achille Emaná",76
1588,"Gareth McAuley",49
1589,"Artur Boruc",21
1590,"Alberto Aquilani",73
1591,"Wayne Routledge",63
1592,"Matthias Lehmann",78
1593,"Steven Pienaar",63
1594,"Ludovic Butelle",22
1595,"Emiliano Moretti",49
1596,"Jonas Olsson",51
1597,"James Collins",51
1598,"Nick Rimando",35
1599,"Dario Dainelli",30
1600,"Maarten Stekelenburg",23
1601,"Paolo Cannavaro",47
1602,"Carlos Soler",80
1603,"Raphinha",56
1604,"Mikel Villanueva",38
1605,"Federico Ricca",38
1606,"Maurício António",43
1607,"Adalberto Peñaranda",77
1608,"Franck Yannick Kessié",69
1609,"Rafael Cachoira",42
1610,"Nicholas Aldair",74
1611,"Luimo Boas Santos",74
1612,"Adilson Edrada",76
1613,"Allan Bardinho",72
1614,"Simão Acunha",67
1615,"Gabrisco Aníbal",66
1616,"Davi Parrela",51
1617,"Kaimo Lima",66
1618,"Victildinho",63
1619,"Andeson Trigo",67
1620,"Kaíquão Castro",21
1621,"Dani Rochelinhas",71
1622,"Laure Santeiro",61
1623,"Jorginhson",61
1624,"Melvin Parrela",72
1625,"Otávio Cairinho",66
1626,"Caio Nunson",46
1627,"Juli Freitinho",63
1628,"Alexo Baia",66
1629,"Silas Almeim",72
1630,"Simão Donatinho",29
1631,"Gastón Pereiro",62
1632,"Aminu Umar",53
1633,"Yoshinori Muto",56
1634,"Viktor Kovalenko",68
1635,"Kasper Dolberg",71
1636,"Benjamin Henrichs",59
1637,"Christian Pulisic",48
1638,"Lucas Tousart",48
1639,"Jakub Jankto",50
1640,"André Horta",55
1641,"Presnel Kimpembe",43
1642,"Hernani",51
1643,"David García",43
1644,"Mikel Merino",58
1645,"Orbelín Pineda",63
1646,"Rúben Neves",59
1647,"Cristian Pavón",59
1648,"Lucas Torreira",48
1649,"Erdem Sen",65
1650,"Afonso Figueiredo",45
1651,"Mario Pašalic",61
1652,"Ömer Ali Sahiner",63
1653,"Toshihiro Aoyama",58
1654,"Alexis Blin",51
1655,"Thomas Touré",66
1656,"Godfred Donsah",60
1657,"Raúl",51
1658,"Mislav Oršic",68
1659,"Sebastián Driussi",67
1660,"Lovre Kalinic",22
1661,"Rafael Santos Borré",66
1662,"Léo Bonatini",71
1663,"Jaume",25
1664,"Clément Lenglet",43
1665,"Diego Rico",43
1666,"Alex Alegría",59
1667,"Munir",66
1668,"Tana",64
1669,"Hamari Traoré",47
1670,"Edgar Méndez",68
1671,"Jordan Amavi",66
1672,"Rodrigo Battaglia",57
1673,"Ezequiel Cerutti",69
1674,"Djavan",45
1675,"Federico Cartabia",66
1676,"Franco Mussis",51
1677,"Marios Oikonomou",27
1678,"Yuriy Gazinskiy",55
1679,"Seko Fofana",56
1680,"Andrew Robertson",55
1681,"Tin Jedvaj",44
1682,"Maxwel Cornet",70
1683,"Aleksandar Mitrovic",64
1684,"Naranjo",66
1685,"Deniz Türüç",74
1686,"Rúben Vezo",54
1687,"Jonathan Schunke",62
1688,"Martín Cauteruccio",71
1689,"Lucas Zelarayán",67
1690,"Luciano Lollo",69
1691,"Milton Casco",46
1692,"Paolo Goltz",66
1693,"Luis Quiñones",54
1694,"William Tesillo",30
1695,"Yimmi Chará",62
1696,"Jefferson Lerma",58
1697,"Pierre-Emile Højbjerg",51
1698,"Facundo Ferreyra",70
1699,"Laurent Depoitre",62
1700,"Hernâni",65
1701,"Jorrit Hendrix",54
1702,"Leonel Vangioni",62
1703,"Arthur Masuaku",49
1704,"Avilés Hurtado",70
1705,"Riechedly Bazoer",46
1706,"Enzo Roco",34
1707,"Camilo Vargas",46
1708,"Karol Linetty",50
1709,"Danilo Cataldi",52
1710,"Ricardo Kishna",49
1711,"Rubén Blanco",22
1712,"Víctor Rodríguez",80
1713,"Douglas Santos",53
1714,"Renato Steffen",55
1715,"Ridgeciano Haps",50
1716,"Garry Mendes Rodrigues",61
1717,"José Rodríguez",64
1718,"Dimitrios Siovas",40
1719,"José Juan Vázquez",62
1720,"Derlis González",67
1721,"Gerso",67
1722,"Nathan Aké",48
1723,"Isaac Becerra",25
1724,"Giancarlo González",35
1725,"Oumar Niasse",67
1726,"Petros Mantalos",62
1727,"Vitinho",70
1728,"Albentosa",42
1729,"Mike van der Hoorn",40
1730,"Insua",32
1731,"Eduardo Vargas",70
1732,"Will Hughes",60
1733,"Bogdan Butko",36
1734,"Sergiy Kryvtsov",37
1735,"Luka Milivojevic",60
1736,"Willard Katsande",71
1737,"Yvon Mvogo",20
1738,"Calum Chambers",54
1739,"Stefanos Kapino",26
1740,"Marko Livaja",62
1741,"Dwight Gayle",73
1742,"Christian Atsu",73
1743,"Valeri Qazaishvili",67
1744,"Soualiho Meïté",51
1745,"Ilori",41
1746,"Iván Piris",55
1747,"Abdoulaye Ba",68
1748,"Lorenzo Melgarejo",66
1749,"Víctor Ibarbo",70
1750,"Benjamin van Leer",27
1751,"Jürgen Locadia",69
1752,"Yassin Ayoub",72
1753,"Edenílson",66
1754,"Viktor Fischer",65
1755,"Pozuelo",66
1756,"Adrien Trebel",55
1757,"Welthon",69
1758,"Mauro",50
1759,"Ogenyi Onazi",60
1760,"Rodrigo Mora",68
1761,"Gregoire Defrel",55
1762,"Federico Viviani",68
1763,"Jérôme Roussillon",51
1764,"Jota Peleteiro",64
1765,"David Juncà",55
1766,"Bobby Wood",72
1767,"Diego Demme",58
1768,"Jasmin Kurtic",65
1769,"Siniša Andelkovic",36
1770,"Dmitriy Poloz",77
1771,"Ryder",65
1772,"Ravel Morrison",56
1773,"Gaëtan Bussmann",44
1774,"André Martins",67
1775,"Bogdan Stancu",80
1776,"Tolga Cigerci",59
1777,"Juan Jesus",37
1778,"Carles Planas",51
1779,"Tomáš Koubek",20
1780,"Lewis Dunk",36
1781,"Luca Caldirola",42
1782,"Erik Sviatchenko",35
1783,"Renato Neto",75
1784,"Matz Sels",22
1785,"Matthew Lowton",49
1786,"Oriol Romeu",54
1787,"Roberto Inglese",72
1788,"Luna",43
1789,"Lacina Traoré",78
1790,"Danilo DAmbrosio",60
1791,"Nicolas Isimat-Mirin",49
1792,"Saphir Taïder",68
1793,"Nathan Redmond",60
1794,"Kara Mbodj",62
1795,"Cristian Gamboa",54
1796,"Pierre-Michel Lasogga",75
1797,"Róbert Mak",65
1798,"Sérgio Oliveira",74
1799,"Ximo Navarro",48
1800,"Juanmi",62
1801,"Arribas",37
1802,"Ivo Pinto",58
1803,"Giulio Donati",51
1804,"Serdar Gürler",50
1805,"José Pedro Fuenzalida",71
1806,"Bill Hamid",23
1807,"Gonzalo Jara",45
1808,"Ishak Belfodil",66
1809,"Yuto Nagatomo",44
1810,"Andy Delort",75
1811,"Filip Ðuricic",69
1812,"Fábio Espinho",71
1813,"Steven Caulker",50
1814,"Rémy Cabella",72
1815,"Nick Viergever",48
1816,"Philipp Bargfrede",47
1817,"Marco Rojas",64
1818,"Marvin Zeegelaar",53
1819,"Steve Cook",20
1820,"Carlos Eduardo",75
1821,"Miguel Rosa",59
1822,"Artur Ionita",65
1823,"Emmanuel Badu",58
1824,"Juan Villar",62
1825,"Daniel Ginczek",73
1826,"Sergio Padt",25
1827,"Paul Lasne",59
1828,"José Cañas",47
1829,"Nosa",52
1830,"Maya Yoshida",54
1831,"Park Joo Ho",62
1832,"Yuya Osako",70
1833,"Atsuto Uchida",41
1834,"Takashi Usami",59
1835,"Ahmed Elmohamady",59
1836,"Ervin Zukanovic",69
1837,"Kévin Théophile-Catherine",45
1838,"Omar Elabdellaoui",42
1839,"Yasin Öztekin",63
1840,"Ryan Mason",69
1841,"Julian Schieber",72
1842,"Isaac Brizuela",60
1843,"Oier",56
1844,"Dani Castellano",48
1845,"Panagiotis Tachtsidis",60
1846,"Fernandão",83
1847,"Yannis Salibur",65
1848,"Yoric Ravet",53
1849,"Lombán",69
1850,"Fábio",60
1851,"Duje Cop",80
1852,"Olcay Sahan",66
1853,"Cristopher Toselli",20
1854,"João Aurélio",58
1855,"Caiuby",61
1856,"Serdar Aziz",38
1857,"Jake Livermore",57
1858,"Daniel Brosinski",70
1859,"Oussama Assaidi",64
1860,"Alberto Costa",74
1861,"Franck Tabanou",73
1862,"Douglão",44
1863,"Marco Sau",76
1864,"Abel Hernández",81
1865,"Carlos Carmona",64
1866,"Ronny Rodelin",68
1867,"Mubarak Wakaso",36
1868,"Floyd Ayité",60
1869,"Leon Balogun",39
1870,"Matt Phillips",61
1871,"Jefferson",63
1872,"Matías Suárez",68
1873,"Clément Grenier",73
1874,"Soslan Dzhanaev",14
1875,"Rafael Tolói",64
1876,"Dmitriy Kombarov",85
1877,"Jesús Dueñas",62
1878,"Matias Pérez García",69
1879,"Kyle Naughton",47
1880,"Filip Ðordevic",70
1881,"Jan-Arie van der Heijden",66
1882,"Joel Ward",40
1883,"Theodor Gebre Selassie",51
1884,"Patrick van Aanholt",46
1885,"James Chester",52
1886,"Geoffrey Bia",79
1887,"Martin Olsson",49
1888,"Harry Arter",68
1889,"Younousse Sankharé",59
1890,"Jérémy Pied",63
1891,"Mathieu Dossevi",69
1892,"Yohan Mollo",66
1893,"Andreas Bjelland",40
1894,"Bakary Koné",53
1895,"Rui Fonte",74
1896,"Mathias Jørgensen",27
1897,"Jack Rodwell",57
1898,"Fabien Lemoine",58
1899,"Víctor Cáceres",63
1900,"Andrea Ranocchia",34
1901,"Julian Palmieri",61
1902,"Titi",55
1903,"Mile Jedinák",72
1904,"Nuno Pinto",58
1905,"Óscar Cardozo",78
1906,"Vito Mannone",43
1907,"Miguel Torres",36
1908,"Ugur Demirok",65
1909,"Federico Peluso",48
1910,"Alessio Cerci",76
1911,"Romain Danzé",42
1912,"Thomas Mangani",73
1913,"Andrea Costa",37
1914,"Abel Aguilar",59
1915,"Clément Chantôme",57
1916,"Artur Jedrzejczyk",34
1917,"Shkëlzen Gashi",71
1918,"Mossoró",66
1919,"Christian Marrugo",63
1920,"Mevlüt Erdinç",78
1921,"Przemyslaw Tyton",22
1922,"Kei Kamara",74
1923,"Niko Bungert",53
1924,"Birkir Bjarnason",39
1925,"Neil Taylor",44
1926,"Benny Feilhaber",74
1927,"Niklas Moisander",41
1928,"Andrew Surman",67
1929,"Manu García",71
1930,"Carlos Martínez",43
1931,"Gabriel Peñalba",76
1932,"Álvaro Pereira",58
1933,"Hugo Ayala",55
1934,"Nicolás Spolli",33
1935,"Marvin Compper",46
1936,"Wayne Hennessey",17
1937,"Liam Bridcutt",34
1938,"Darren Randolph",30
1939,"Danny Simpson",54
1940,"Omar Ramos",73
1941,"Jérémy Sorbon",39
1942,"Federico Higuaín",62
1943,"Juan Pablo Carrizo",22
1944,"Kirill Nababkin",58
1945,"Miroslav Radovic",68
1946,"Jaba Kankava",30
1947,"Alexandru Gatcan",60
1948,"Ilya Maksimov",50
1949,"Kwak Tae Hwi",65
1950,"Nicolas Maurice-Belay",72
1951,"Bruno Gama",71
1952,"Dennis Aogo",65
1953,"Bradley Wright-Phillips",67
1954,"Sebastian Larsson",78
1955,"Alessandro Diamanti",66
